Log ID,Date,Lifecycle Type,Category,Vegetable / Crop,Variety,Bed / Row,Quantity,Weight (lbs),Notes,Plant ID,GPS Latitude,GPS Longitude
164,2014-10-12,plant,Garlic,Garlic,Music,Garlic,200,0,Emerged on April 5th 2015,121,43.19327114915495,-77.37052112817764
165,2014-10-12,plant,Garlic,Garlic,German Red,Garlic,280,0,,120,43.19326137184496,-77.37053722143173
166,2015-03-21,sow,Onions,Yellow Onions,Cortland,,2000,0,,33,43.19365620000000,-77.37058820000000
167,2015-03-21,sow,Onions,Red Onions,Red Wing,,2000,0,,138,43.18397890000000,-77.35540170000000
168,2015-03-21,sow,Onions,Sweet Onions,Walla Walla,,2000,0,,32,43.19360162131166,-77.37053990364075
169,2015-03-21,sow,Leeks,Leeks,Pandora,,1800,0,,30,43.19358402224783,-77.37046748399734
178,2015-03-23,sow,Broccoli,Broccoli,Blue Wind,,360,0,,17,43.19318600000000,-77.37041990000000
179,2015-03-24,sow,Broccoli,Broccoli,Belstar,,504,0,,16,43.19312290000000,-77.37060640000000
180,2015-03-24,sow,Cabbage,Green Cabbage,Farao,,108,0,,128,43.19312380000000,-77.37060450000000
181,2015-03-24,sow,Cabbage,Red Cabbage,Red Express,,108,0,,129,43.19312410000000,-77.37060520000000
182,2015-03-24,sow,Cauliflower,Cauliflower,Janvel,,360,0,,115,43.19312430000000,-77.37060560000000
183,2015-03-24,sow,Peppers,Hot Peppers,Jalafuego,,50,0,,45,43.19312420000000,-77.37060560000000
184,2015-03-24,sow,Peppers,Hot Peppers,Cheyenne,,50,0,,46,43.19360570000000,-77.37051400000000
185,2015-03-24,sow,Peppers,Mini Peppers,Lunchbox,,100,0,,136,43.19312430000000,-77.37060250000000
186,2015-03-24,sow,Peppers,Bell Peppers,X3R Red Knight,,100,0,,42,43.19312430000000,-77.37060450000000
187,2015-03-24,sow,Peppers,Bell Peppers,Olympus,,504,0,,40,43.19312650000000,-77.37060150000000
188,2015-03-24,sow,Peppers,Bell Peppers,Carmen,,100,0,,44,43.19312290000000,-77.37060640000000
189,2015-03-24,sow,Eggplant,Purple Eggplant,Classic,,288,0,,56,43.19312670000000,-77.37060680000000
194,2015-03-24,sow,Peppers,Hot Peppers,Ghost,,6,0,,159,43.19312440000000,-77.37060510000000
195,2015-03-24,sow,Peppers,Bell Peppers,Gourmet,,100,0,,41,43.19312440000000,-77.37060510000000
196,2015-03-25,sow,Beets,Golden Beets,Touchstone,,1000,0,,26,43.19310560000000,-77.37060410000000
197,2015-03-25,sow,Beets,Red Beets,Boro,,1000,0,,25,43.19368460000000,-77.37049680000000
199,2015-03-26,sow,Greens,Asian Greens,Win Win,,144,0,,63,43.18397890000000,-77.35540170000000
